Order_ID,Customer_ID,Transaction_Date,Customer_City,Product_Category,Quantity,Unit_Price,Discount_Rate,Total_Revenue,Payment_Method,Customer_Rating,Delivery_Status
ORD-1448,CUST-204,30-Nov-2023,New York,Sports & Fitness,3,?,0.05,1952.91,Cryptocurrency,5,Delivered
ORD-1079,CUST-325,2023/09/01 00:00:00,chicago,Home & Kitchen,2,€494.44,0.05,?,Apple Pay,3.5,Cancelled
ORD-1030,?,"Dec 19, 2023",houston,Home & Kitchen,2,520.23 USD,25%,$780.35,Debit,2,Cancelled
ORD-1185,CUST-328,"Nov 19, 2023",  Chicago  ,Beauty & Care,1,$307.83,0.3,$215.48,Cryptocurrency,3,Returned
ORD-1137,CUST-303,05-Jun-2023,Houston,Books,3,235.85 USD,0.25,530.66,Apple Pay,3.5,Delivered
ORD-1195,CUST-227,"Feb 16, 2023",New York,Books,2,107.48,0.3,"$15,047.20",apple pay,1,
ORD-1082,CUST-219,06/07/2023,Miami,Books,5,285.14 USD,0.15,"$1,211.84",N/A,3.5,Pending
ORD-1158,CUST-271,01/29/2023,Houston,Home & Kitchen,5,$164.94,0.15,701.00,N/A,3.5,Cancelled
ORD-1375,CUST-318,10/30/2023,  Chicago  ,Electronics,7,27.98 USD,0.2,$156.69,N/A,1,Cancelled
ORD-1231,CUST-224,2023/12/03 00:00:00,Houston,Fashion & Apparel,7,€473.09,0.05,"$3,146.05",N/A,5,Returned
ORD-1298,CUST-241,02-Feb-2023,new york,Beauty & Care,6,$344.52,25%,1550.34,Cryptocurrency,4.5,
ORD-1077,CUST-157,02-Jun-2023,chicago,Beauty & Care,5,€226.53,0.1,1019.39,Cryptocurrency,4.5,
ORD-1384,CUST-253,2023-01-07,miami,Books,4,€117.33,15%,$398.92,Credit Card,5,UNKNOWN
ORD-1489,CUST-111,2023/11/06 00:00:00,New York,Home & Kitchen,-2,€498.05,0%,$498.05,Apple Pay,3,UNKNOWN
ORD-1408,CUST-345,2023-11-17,Houston,Home & Kitchen,3,234.58 USD,,492.62,N/A,-,Cancelled
ORD-1484,CUST-207,04/02/2023,Los Angeles,Electronics,2,497.06 USD,5%,944.41,apple pay,4,Cancelled
ORD-1398,CUST-146,2023/02/25 00:00:00,new york,Home & Kitchen,8,$171.29,N/A,"$1,164.77",Credit Card,1,Returned
ORD-1329,CUST-246,22-Mar-2023,  Chicago  ,Electronics,1,356.96 USD,15%,?,paypal,1,Cancelled
ORD-1009,CUST-224,09/04/2023,CHICAGO,Fashion & Apparel,9999,301.96 USD,0.25,"$2,264,473.53",Debit,4.5,Delivered
ORD-1073,CUST-193,2023/01/24 00:00:00,los angeles,Home & Kitchen,8,€576.84,0,4614.72,paypal,1,Delivered
ORD-1487,CUST-121,2023-10-01,CHICAGO,Beauty & Care,8,€521.41,20%,null,apple pay,3,Cancelled
ORD-1192,CUST-126,25-May-2023,NY,Electronics,-1,€266.31,None,$186.42,apple pay,,In Transit
ORD-1247,CUST-347,2023/08/31 00:00:00,New York,Electronics,7,199.77 USD,0,"$1,398.39",credit card,null,
ORD-1078,CUST-311,03-Oct-2023,new york,Fashion & Apparel,4,$52.31,5%,198.78,Credit Card,2,UNKNOWN
ORD-1355,CUST-336,2023/10/01 00:00:00,Seattle,Fashion & Apparel,2,€488.33,0.25,$732.50,Debit,4.5,Pending
ORD-1124,CUST-213,2023-03-07,new york,Home & Kitchen,3,694.24 USD,15%,"$1,770.31",PayPal,-,Pending
ORD-1055,CUST-314,2023-06-25,houston,Fashion & Apparel,3,$282.47,0.3,$593.19,credit card,3,In Transit
ORD-1479,CUST-126,19-Nov-2023,Los Angeles,,2,$152.53,20%,244.05,apple pay,2,Cancelled
ORD-1140,CUST-255,06-Jun-2023,Los Angeles,Home & Kitchen,7,$ - ,0.3,2178.54,Apple Pay,?,Returned
ORD-1225,CUST-200,"Apr 02, 2023",houston,Books,6,615.82 USD,0.3,2586.44,credit card,4.5,
ORD-1414,CUST-206,04-Jun-2023,los angeles,Electronics,1,304.1,0,304.10,PayPal,4.5,UNKNOWN
ORD-1394,CUST-274,2023-08-26,NY,Books,3,580.09 USD,0.25,"$1,305.20",Debit,4,Delivered
ORD-1227,CUST-266,06-Feb-2023,NY,Beauty & Care,8,297.11 USD,0.3,"$1,663.82",credit card,3.5,
ORD-1495,CUST-332,03/23/2023,houston,Electronics,8,648.69 USD,0.25,3892.14,Apple Pay,3,UNKNOWN
ORD-1009,CUST-224,09/04/2023,CHICAGO,Fashion & Apparel,9999,301.96 USD,0.25,"$2,264,473.53",Debit,4.5,Delivered
ORD-1486,,2023-01-21,Seattle,Electronics,7,263.03 USD,5%,"$1,749.15",credit card,4.5,UNKNOWN
ORD-1063,CUST-111,2023-04-13,miami,Beauty & Care,4,$225.29,25%,675.87,apple pay,4.5,
ORD-1440,CUST-250,01/06/2023,LA,Sports & Fitness,4,$612.28,5%,2326.66,PayPal,1,delivered
ORD-1424,CUST-131,2023/08/10 00:00:00,  Chicago  ,Home & Kitchen,-3,123.14 USD,20%,$98.51,Credit Card,1,Delivered
ORD-1287,CUST-201,10-Dec-2023,LA,Electronics,8,$698.79,10%,5031.29,Apple Pay,4.5,Returned
ORD-1244,CUST-151,07-Aug-2023,CHICAGO,Books,3,$251.37,0%,$754.11,Cryptocurrency,5,Delivered
ORD-1084,CUST-114,2023/10/14 00:00:00,CHICAGO,Electronics,-1,$440.06,0%,$440.06,Debit,3.5,UNKNOWN
ORD-1002,CUST-318,2023-04-30,NEW YORK,Home & Kitchen,5,$530.84,0.25,1990.65,N/A,3.5,Delivered
ORD-1465,CUST-121,2023/03/14 00:00:00,miami,Books,8,$200.24,zero,"$1,521.82",paypal,5,
ORD-1395,CUST-298,2023/12/16 00:00:00,new york,Sports & Fitness,8,0.00,0.2,$554.18,PayPal,3,Returned
ORD-1104,CUST-292,2023-12-27,NEW YORK,Sports & Fitness,2,207.83 USD,20%,$332.53,PayPal,3,delivered
ORD-1090,CUST-298,2023/05/25 00:00:00,  Chicago  ,Home & Kitchen,8,87.48,10%,$629.86,N/A,4,Cancelled
ORD-1274,CUST-116,2023-06-06,New York,,7,€210.96,15%,"$1,255.21",Apple Pay,3,In Transit
ORD-1173,CUST-286,05-Dec-2023,Los Angeles,Sports & Fitness,7,456.62 USD,25%,2397.26,credit card,1,Delivered
ORD-1348,CUST-273,01/15/2023,NEW YORK,Books,3,€24.07,20%,$57.77,apple pay,5,UNKNOWN
ORD-1068,CUST-283,"Sep 03, 2023",new york,Sports & Fitness,2,$345.73,0.3,$484.02,Credit Card,3,In Transit
ORD-1172,CUST-184,2023/02/28 00:00:00,NEW YORK,Sports & Fitness,4,$46.71,0.25,140.13,N/A,5,Delivered
ORD-1033,CUST-311,"Jan 01, 2023",chicago,Sports & Fitness,8,€573.59,25%,3441.54,Debit,1,Pending
ORD-1070,CUST-342,"Nov 25, 2023",CHICAGO,Sports & Fitness,-3,$416.00,0.05,$395.20,Apple Pay,3,In Transit
ORD-1076,CUST-152,"Jul 30, 2023",houston,Books,4,427.25 USD,0.05,1623.55,Debit,2,Cancelled
ORD-1000,CUST-106,05/21/2023,houston,Books,7,$38.36,N/A,$214.82,Apple Pay,1,In Transit
ORD-1011,CUST-201,09-Mar-2023,New York,Electronics,2,$68.85,0.1,123.93,Debit,4.5,Delivered
ORD-1453,CUST-222,12/25/2023,Seattle,Sports & Fitness,3,$673.27,25%,"$1,514.86",credit card,1,UNKNOWN
ORD-1022,CUST-209,2023/03/11 00:00:00,NY,Home & Kitchen,7,€219.52,0.25,1152.48,Credit Card,2,Delivered
ORD-1431,CUST-226,08-Jul-2023,Los Angeles,Electronics,1,$223.32,0.2,$178.66,Cryptocurrency,4.5,
ORD-1368,CUST-190,"Aug 28, 2023",houston,Sports & Fitness,5,$482.19,30%,1687.66,PayPal,3,
ORD-1194,CUST-240,2023-09-24,chicago,Fashion & Apparel,4,730.36 USD,30%,null,Apple Pay,3.5,delivered
ORD-1296,CUST-122,2023-99-99,NY,Books,3,€492.56,10%,1329.91,Apple Pay,3.5,
ORD-1371,CUST-178,"Nov 26, 2023",Seattle,Beauty & Care,6,$19.33,N/A,?,Apple Pay,2,UNKNOWN
ORD-1245,CUST-302,"Nov 20, 2023",new york,Beauty & Care,9999,€146.87,30%,"$1,027,987.19",Apple Pay,5,Delivered
ORD-1018,CUST-172,"Sep 21, 2023",Houston,Fashion & Apparel,3,€32.95,0.15,$84.02,PayPal,0,UNKNOWN
ORD-1177,CUST-318,2023-12-04,NEW YORK,Books,6,603.63 USD,15%,3078.51,apple pay,3,delivered
ORD-1131,CUST-118,,chicago,Electronics,2,$417.08,0.2,667.33,apple pay,2,Pending
ORD-1277,CUST-286,2023-11-17,NY,Fashion & Apparel,5,€635.43,0.3,2224.00,apple pay,1,Pending
ORD-1155,CUST-300,08-Apr-2023,miami,Books,8,€351.18,-,2107.08,PayPal,3.5,In Transit
ORD-1039,CUST-318,2023-09-05,  Chicago  ,Sports & Fitness,7,€216.74,0.2,"$1,213.74",Cryptocurrency,3,In Transit
ORD-1467,CUST-323,2023/10/08 00:00:00,  Chicago  ,Beauty & Care,5,$399.02,25%,1496.32,Cryptocurrency,4,Pending
ORD-1046,CUST-346,2023-01-16,Houston,Beauty & Care,8,69.02 USD,0.1,496.94,Debit,1,delivered
ORD-1388,CUST-248,"Aug 04, 2023",NY,Books,1,$164.41,0.15,139.75,PayPal,3.5,UNKNOWN
ORD-1204,CUST-202,2023/09/14 00:00:00,Los Angeles,Fashion & Apparel,4,427.46 USD,10%,1538.86,apple pay,3,Delivered
ORD-1364,CUST-111,2023-05-02,NEW YORK,Fashion & Apparel,6,218.89 USD,0.1,"$1,182.01",apple pay,2,delivered
ORD-1402,CUST-322,2023/03/05 00:00:00,chicago,Beauty & Care,6,98.33 USD,20%,471.98,Debit,3.5,delivered
ORD-1325,CUST-196,2023/04/16 00:00:00,New York,Home & Kitchen,-1,€119.67,0%,$119.67,N/A,2,Cancelled
ORD-1124,CUST-213,2023-03-07,new york,Home & Kitchen,3,694.24 USD,15%,"$1,770.31",PayPal,-,Pending
ORD-1483,CUST-255,04/02/2023,LA,Electronics,2,$489.50,5%,$930.05,Debit,1,Cancelled
ORD-1499,CUST-196,09/06/2023,Seattle,Beauty & Care,2,$266.64,0.1,$479.95,Credit Card,3.5,Pending
ORD-1117,CUST-132,2023-05-18,  Chicago  ,,2,$379.67,30%,531.54,credit card,1,Delivered
ORD-1069,CUST-339,26-Apr-2023,miami,Home & Kitchen,5,107.0 USD,0.05,508.25,Cryptocurrency,3.5,Delivered
ORD-1356,CUST-129,21-Oct-2023,LA,Beauty & Care,4,$637.63,0.1,2295.47,credit card,4,Returned
ORD-1302,CUST-135,03/04/2023,NY,Electronics,5,$386.19,0.3,1351.66,paypal,4,
ORD-1371,CUST-178,"Nov 26, 2023",Seattle,Beauty & Care,6,$19.33,N/A,?,Apple Pay,2,UNKNOWN
ORD-1471,CUST-198,31-Aug-2023,new york,Sports & Fitness,3,€709.94,15%,1810.35,PayPal,?,
ORD-1391,CUST-208,22-Mar-2023,houston,Fashion & Apparel,4,303.33 USD,0%,1213.32,PayPal,?,UNKNOWN
ORD-1380,CUST-156,01-Jun-2023,los angeles,Electronics,-1,$707.40,0.3,495.18,Credit Card,3,Returned
ORD-1405,CUST-200,"Apr 09, 2023",CHICAGO,Sports & Fitness,3,$311.29,0.05,887.18,Debit,3,Pending
ORD-1331,CUST-300,2023/07/26 00:00:00,Los Angeles,Electronics,3,651.12 USD,0.05,"$1,855.69",credit card,3.5,UNKNOWN
ORD-1220,CUST-285,"Oct 19, 2023",chicago,Fashion & Apparel,8,688.38 USD,0.25,4130.28,Credit Card,4.5,Returned
ORD-1148,CUST-312,09/25/2023,New York,Fashion & Apparel,8,$ - ,0,"$2,063.92",N/A,N/A,Cancelled
ORD-1301,CUST-337,2023/08/13 00:00:00,Miami,Electronics,2,$620.35,25%,930.53,N/A,2,Returned
ORD-1278,CUST-179,2023/08/26 00:00:00,Seattle,Books,3,$36.42,0.2,$87.41,credit card,1,UNKNOWN
ORD-1357,CUST-341,06/01/2023,  Chicago  ,Sports & Fitness,1,455.18 USD,30%,318.63,apple pay,?,In Transit
ORD-1354,CUST-272,2023/10/08 00:00:00,Los Angeles,Electronics,4,140.27 USD,,$420.81,Debit,4.5,delivered
ORD-1208,,01-Jul-2023,  Chicago  ,Sports & Fitness,7,$669.45,20%,"$3,748.92",apple pay,3.5,Pending
ORD-1255,CUST-323,"Apr 15, 2023",Houston,,6,$323.80,0.05,1845.66,apple pay,3.5,Returned
ORD-1334,,01/06/2023,NEW YORK,Beauty & Care,7,€366.51,0.05,2437.29,Debit,4.5,
ORD-1275,CUST-193,08/12/2023,miami,Electronics,5,49.94 USD,0.25,$187.27,N/A,3.5,delivered
ORD-1447,CUST-282,,LA,Electronics,8,$98.19,0.2,628.42,PayPal,-,Returned
ORD-1361,CUST-267,2023-99-99,Houston,Beauty & Care,1,€446.34,20%,357.07,credit card,3.5,In Transit
ORD-1086,CUST-163,24-Aug-2023,Miami,Books,7,466.97 USD,0%,"$3,268.79",Credit Card,2,Delivered
ORD-1322,CUST-340,2023-12-12,new york,Fashion & Apparel,2,450.77 USD,20%,$721.23,Credit Card,?,UNKNOWN
ORD-1075,CUST-285,2023-12-19,Miami,Books,4,$545.23,0.25,"$1,635.69",credit card,4,In Transit
ORD-1454,CUST-198,06/13/2023,Seattle,Books,5,$437.73,10%,"$1,969.79",Debit,2,Cancelled
ORD-1015,CUST-156,2023/04/13 00:00:00,NY,Fashion & Apparel,9999,€156.95,0.25,"$1,177,007.29",Debit,3,Delivered
ORD-1370,CUST-325,09/26/2023,los angeles,Fashion & Apparel,8,$293.63,0.25,"$1,761.78",Debit,-5,UNKNOWN
ORD-1182,CUST-313,"May 08, 2023",Seattle,Electronics,8,466.16 USD,15%,3169.89,Debit,5,Cancelled
ORD-1399,CUST-350,08/31/2023,CHICAGO,Books,2,$119.18,0.3,$166.85,Credit Card,3,Cancelled
ORD-1019,CUST-305,"Dec 23, 2023",Los Angeles,Electronics,6,€713.28,30%,"$2,995.78",paypal,3.5,
ORD-1332,CUST-215,2023-10-13,  Chicago  ,Fashion & Apparel,-3,€628.21,30%,$439.75,PayPal,3,UNKNOWN
ORD-1342,CUST-270,2023-09-04,Los Angeles,Sports & Fitness,4,$385.01,0,1540.04,credit card,?,
ORD-1056,CUST-249,12/06/2023,houston,Books,2,€242.54,0.3,339.56,N/A,2,Pending
ORD-1250,CUST-155,2023/10/30 00:00:00,CHICAGO,Books,6,334.17,0%,2005.02,apple pay,3.5,delivered
ORD-1341,CUST-268,"May 23, 2023",CHICAGO,Fashion & Apparel,2,538.71 USD,0.1,969.68,PayPal,4.5,Returned
ORD-1437,CUST-119,"Oct 01, 2023",los angeles,Sports & Fitness,2,€443.34,15%,753.68,Cryptocurrency,1,Pending
ORD-1155,CUST-300,08-Apr-2023,miami,Books,8,€351.18,-,2107.08,PayPal,3.5,In Transit
ORD-1025,CUST-335,2023/10/03 00:00:00,  Chicago  ,Sports & Fitness,2,220.01 USD,25%,$330.01,Debit,4.5,Cancelled
ORD-1386,CUST-235,"Jun 21, 2023",Houston,Books,6,658.42 USD,0.1,N/A,PayPal,4.5,
ORD-1042,CUST-220,"Jan 13, 2023",NY,Sports & Fitness,8,683.4 USD,0%,"$5,467.20",Apple Pay,4.5,UNKNOWN
ORD-1314,CUST-237,"Aug 05, 2023",miami,,3,15.4 USD,0.3,32.34,Debit,-,delivered
ORD-1284,CUST-341,2023-99-99,LA,Books,8,$160.73,0.15,"$1,092.96",credit card,-,UNKNOWN
ORD-1167,CUST-117,10-Apr-2023,  Chicago  ,Books,6,$608.66,10%,3286.76,PayPal,4,
ORD-1286,CUST-332,08-May-2023,New York,Electronics,7,€519.84,0%,"$3,638.88",Credit Card,-,UNKNOWN
ORD-1126,CUST-299,2023-05-24,Miami,Home & Kitchen,3,$88.60,0.3,186.06,apple pay,3.5,In Transit
ORD-1336,CUST-333,12/04/2023,New York,Books,5,663.68 USD,25%,2488.80,Cryptocurrency,N/A,Returned
ORD-1031,CUST-311,19-Oct-2023,houston,Home & Kitchen,8,€336.75,0,2694.00,Debit,2,
ORD-1113,CUST-273,2023-03-15,Los Angeles,N/A,3,691.12 USD,0%,"$2,073.36",PayPal,2,Cancelled
ORD-1411,CUST-327,"Jan 18, 2023",miami,Sports & Fitness,6,307.76 USD,5%,1754.23,credit card,N/A,Returned
ORD-1222,CUST-195,20-Aug-2023,chicago,Electronics,2,null,20%,$545.87,Cryptocurrency,3.5,In Transit
ORD-1153,CUST-130,2023-09-12,los angeles,Sports & Fitness,9999,81.81 USD,0.2,654414.55,paypal,3.5,
ORD-1057,CUST-296,09/06/2023,  Chicago  ,Electronics,1,501.52 USD,0.05,$476.44,Apple Pay,?,Pending
ORD-1210,CUST-236,03/02/2023,New York,Books,7,€721.48,0.25,3787.77,Debit,5,Pending
ORD-1024,CUST-297,"Jun 04, 2023",Miami,Sports & Fitness,6,$65.68,15%,334.97,PayPal,4.5,Cancelled
ORD-1017,CUST-270,29-Jul-2023,NY,Fashion & Apparel,3,467.4 USD,0.1,"$1,261.98",paypal,3.5,In Transit
ORD-1211,CUST-106,2023-07-03,miami,Sports & Fitness,6,150.22 USD,None,$856.25,paypal,4,
ORD-1066,CUST-266,05/23/2023,Los Angeles,N/A,2,€207.41,15%,352.60,credit card,3,Returned
ORD-1228,CUST-252,26-Aug-2023,  Chicago  ,Fashion & Apparel,2,518.85 USD,25%,778.28,Credit Card,4,Cancelled
ORD-1209,CUST-246,2023/03/20 00:00:00,Los Angeles,Home & Kitchen,3,$442.06,0.05,1259.87,PayPal,2,Returned
ORD-1094,CUST-121,2023/09/13 00:00:00,Seattle,Electronics,4,677.44 USD,0%,"$2,709.76",Cryptocurrency,null,In Transit
ORD-1289,CUST-281,2023/10/15 00:00:00,miami,Books,4,$653.11,0.2,2089.95,Credit Card,4,delivered
ORD-1291,CUST-287,10/19/2023,  Chicago  ,Books,2,$417.16,0.1,750.89,PayPal,4.5,In Transit
ORD-1023,CUST-161,2023/03/06 00:00:00,Los Angeles,Fashion & Apparel,3,€460.33,10%,1242.89,apple pay,5,Pending
ORD-1365,CUST-168,11/21/2023,miami,Books,3,$247.52,20%,$594.05,Cryptocurrency,3,Cancelled
ORD-1422,CUST-288,"Jun 29, 2023",Los Angeles,Home & Kitchen,9999,274.18,30%,"$1,919,068.07",apple pay,2,Returned
ORD-1218,CUST-286,"Nov 19, 2023",LA,Books,5,$328.88,20%,1315.52,Apple Pay,5,Pending
ORD-1005,CUST-295,"Apr 02, 2023",miami,Home & Kitchen,3,289.83,20%,695.59,Debit,5,delivered
ORD-1116,CUST-200,2023-10-28,New York,Fashion & Apparel,2,$348.23,25%,"$52,234.50",PayPal,3,Cancelled
ORD-1045,CUST-128,2023-12-05,LA,Fashion & Apparel,1,$108.17,0,108.17,Credit Card,4.5,Cancelled
ORD-1428,?,2023/03/06 00:00:00,Los Angeles,Sports & Fitness,5,$624.97,0,"$3,124.85",N/A,2,In Transit
ORD-1016,CUST-211,26-Jun-2023,CHICAGO,Electronics,1,?,0.25,$401.97,Cryptocurrency,1,Cancelled
ORD-1481,CUST-185,2023-01-28,Los Angeles,Home & Kitchen,3,$162.30,5%,462.56,Cryptocurrency,null,Returned
ORD-1369,CUST-102,"Aug 06, 2023",los angeles,Beauty & Care,2,€313.02,25%,469.53,N/A,4,In Transit
ORD-1003,CUST-108,2023/06/11 00:00:00,Seattle,Sports & Fitness,8,305.79 USD,0.05,2324.00,Cryptocurrency,5,
ORD-1238,CUST-263,2023-03-04,Houston,Beauty & Care,3,$673.56,15%,1717.58,Cryptocurrency,3,Delivered
ORD-1438,CUST-306,"Oct 16, 2023",chicago,Electronics,2,$667.33,None,"$1,001.00",Apple Pay,2,Delivered
ORD-1060,CUST-135,20-Jan-2023,Miami,Fashion & Apparel,1,free,0.3,476.57,paypal,4,
ORD-1110,CUST-100,2023/02/17 00:00:00,Miami,Electronics,7,$621.26,0.1,"$3,913.94",Credit Card,,Delivered
ORD-1460,CUST-300,2023-07-29,chicago,Books,7,$308.03,0.25,"$1,617.16",PayPal,1,Returned
ORD-1271,CUST-197,06-Nov-2023,Miami,Electronics,8,597.66 USD,0.1,null,apple pay,4,Returned
ORD-1029,CUST-130,2023/10/13 00:00:00,Miami,Fashion & Apparel,8,233.55 USD,0,"$1,868.40",credit card,1,In Transit
ORD-1423,CUST-162,2023/10/23 00:00:00,Seattle,Fashion & Apparel,5,659.7 USD,0.2,2638.80,Debit,5,Returned
ORD-1180,CUST-204,2023-09-17,new york,Home & Kitchen,5,525.23,30%,null,Debit,null,Pending
ORD-1026,CUST-232,2023-04-08,Miami,Sports & Fitness,8,0.00,5%,2617.52,Cryptocurrency,3,Returned
ORD-1007,CUST-101,2023-02-06,new york,Home & Kitchen,8,172.46 USD,15%,1172.73,Cryptocurrency,4.5,Delivered
ORD-1181,CUST-205,"Jun 30, 2023",NY,Home & Kitchen,6,70.88 USD,0.2,$340.22,paypal,3,Pending
ORD-1469,CUST-103,09-Apr-2023,LA,Beauty & Care,7,701.72 USD,0.2,"$3,929.63",N/A,3,Cancelled
ORD-1108,CUST-256,2023/11/20 00:00:00,miami,Fashion & Apparel,6,$406.23,0.25,1828.04,credit card,4,Delivered
ORD-1037,CUST-109,2023-11-13,NY,Home & Kitchen,2,$573.87,0.05,"$1,090.35",Cryptocurrency,4,In Transit
ORD-1157,CUST-259,29-May-2023,Houston,Books,6,537.11 USD,0.25,2416.99,apple pay,1,UNKNOWN
ORD-1485,CUST-129,2023/11/06 00:00:00,chicago,Books,2,592.34 USD,25%,$888.51,N/A,4,UNKNOWN
ORD-1118,CUST-220,2023/07/06 00:00:00,los angeles,Electronics,7,180.02 USD,30%,$882.10,N/A,1,
ORD-1114,CUST-276,14-Jan-2023,houston,Fashion & Apparel,4,378.74 USD,20%,"$1,211.97",apple pay,3.5,
ORD-1268,CUST-158,2023-07-28,new york,Beauty & Care,6,$532.98,10%,2878.09,Apple Pay,3.5,UNKNOWN
ORD-1175,CUST-197,"Jun 29, 2023",LA,Books,8,$577.91,20%,3698.62,N/A,-5,Pending
ORD-1203,CUST-261,2023-07-15,LA,Sports & Fitness,4,127.6,20%,$408.32,credit card,5,UNKNOWN
ORD-1262,CUST-276,,LA,Electronics,7,€653.23,20%,"$3,658.09",Apple Pay,2,Delivered
ORD-1144,CUST-261,01-Apr-2023,NY,,3,$374.84,20%,$899.62,N/A,1,Returned
ORD-1194,CUST-240,2023-09-24,chicago,Fashion & Apparel,4,730.36 USD,30%,null,Apple Pay,3.5,delivered
ORD-1382,CUST-156,16-Jun-2023,NEW YORK,Beauty & Care,7,$285.95,0.05,1901.57,PayPal,2,In Transit
ORD-1393,CUST-341,2023-06-08,los angeles,Beauty & Care,6,$730.78,0.15,"$3,726.98",apple pay,1,Cancelled
ORD-1418,CUST-275,"Jun 07, 2023",houston,Electronics,-2,$ - ,20%,$121.98,PayPal,3,Delivered
ORD-1234,CUST-171,05/10/2023,New York,Home & Kitchen,3,$499.48,30%,"$1,048.91",credit card,3.5,In Transit
ORD-1237,CUST-250,"Apr 10, 2023",chicago,Fashion & Apparel,2,$23.79,0.15,null,Credit Card,3.5,Pending
ORD-1461,CUST-238,2023-01-11,chicago,Books,2,$496.37,0.05,$943.10,PayPal,2,Pending
ORD-1141,CUST-166,02-Dec-2023,Seattle,Fashion & Apparel,7,500.49,10%,3153.09,paypal,4.5,
ORD-1495,CUST-332,03/23/2023,houston,Electronics,8,648.69 USD,0.25,3892.14,Apple Pay,3,UNKNOWN
ORD-1067,CUST-240,05-Oct-2023,houston,Books,6,$388.94,5%,"$2,216.96",N/A,1,Cancelled
ORD-1323,CUST-266,03-Jul-2023,NEW YORK,Fashion & Apparel,5,?,25%,1072.84,apple pay,4.5,Pending
ORD-1168,CUST-298,2023/06/06 00:00:00,new york,Sports & Fitness,3,670.1 USD,25%,?,paypal,5,
ORD-1188,CUST-201,2023-02-22,New York,Sports & Fitness,9999,$306.80,10%,"$2,760,923.88",Debit,5,In Transit
ORD-1346,CUST-294,"Jun 03, 2023",  Chicago  ,Fashion & Apparel,5,$290.73,5%,,Apple Pay,4,Returned
ORD-1433,CUST-255,12/04/2023,los angeles,Books,6,$444.60,0%,2667.60,Apple Pay,3.5,Pending
ORD-1353,,24-Jan-2023,CHICAGO,Beauty & Care,6,329.52,0%,1977.12,N/A,,delivered
ORD-1193,CUST-315,2023/05/09 00:00:00,NY,Books,4,null,0.25,1671.45,Debit,4.5,Delivered
ORD-1081,CUST-319,2023/11/24 00:00:00,CHICAGO,Electronics,3,$365.93,0.15,933.12,Credit Card,2,Delivered
ORD-1109,CUST-321,12/02/2023,houston,Fashion & Apparel,7,$374.75,15%,"$2,229.76",Debit,4,
ORD-1261,CUST-218,10/18/2023,los angeles,Home & Kitchen,5,628.42 USD,0%,3142.10,credit card,4,In Transit
ORD-1145,CUST-235,2023-04-08,NY,Fashion & Apparel,3,$90.49,0%,271.47,Cryptocurrency,2,Returned
ORD-1092,CUST-205,03/12/2023,los angeles,Fashion & Apparel,8,?,20%,"$3,197.25",N/A,3.5,In Transit
ORD-1152,CUST-311,"Oct 13, 2023",los angeles,Fashion & Apparel,3,$70.03,10%,$189.08,Apple Pay,1,
ORD-1377,CUST-289,"Jul 05, 2023",  Chicago  ,Books,2,$110.91,0.2,$177.46,credit card,-,Returned
ORD-1407,CUST-268,27-Jan-2023,Houston,Electronics,2,$352.46,10%,634.43,paypal,1,UNKNOWN
ORD-1253,CUST-193,,houston,Sports & Fitness,4,116.73 USD,0.25,350.19,paypal,5,UNKNOWN
