Property_ID,Neighborhood,Property_Type,Bedrooms,Bathrooms,Living_Area_SqFt,Year_Built,Listing_Price,Days_On_Market,Garage_Capacity
PROP-8304,East End,Duplex,1,2,"3,770 SQ FT",2001,"$1,245,900",21,2
PROP-8217,N/A,single family,3,3,N/A,1977,1065300.0,46,3
PROP-8032,lakeside,condo,3,1.5,2714,1973,"$764,500",164,3
PROP-8301,  Midtown  ,townhouse,4,2.5,"2,308 SQ FT",2014,"616,600 USD",179,2
PROP-8233,,Duplex,5,1.5,"1,112 SQ FT",1978,"$495,000",84,0
PROP-8162,Westside,Penthouse,4,3.5,4343 sqft,1970,"1,523,700 USD",45,2
PROP-8047,midtown,Townhouse,5,1,3551,2018,"$1,083,600",27,None
PROP-8041,lakeside,Single Family,4,1.5,N/A,1994,"$461,400",91,N/A
PROP-8057,Lakeside,Condo,3,2,"1,881 SQ FT",unknown,"$996,100",133,3
PROP-8155,  Midtown  ,,4,1,4768 sqft,1980,"2,556,100 USD",154,N/A
PROP-8191,Lakeside,Townhouse,5,3,3044 sqft,2003,"$1,164,100",29,None
PROP-8082,DOWNTOWN,single family,5,1,"4,410 SQ FT",2016,"$1,455,800",N/A,2
PROP-8061,downtown,Duplex,5,1,1596,N/A,"$913,700",137,N/A
PROP-8183,Lakeside,,4,3,1720 sqft,1986,"568,300 USD",98,2
PROP-8146,  Midtown  ,Townhouse,3,3.5,4307 sqft,2020,"2,302,900 USD",71,N/A
PROP-8197,DOWNTOWN,Condo,3,2,"3,893 SQ FT",1950,"$1,529,800",22,None
PROP-8221,lakeside,Duplex,2,3,3732 sqft,1957,"1,008,000 USD",32,0
PROP-8323,midtown,Single Family,1,1.5,1847 sqft,1970,718600.0,171,3
PROP-8084,Suburbs North,Townhouse,2,3.5,"2,422 SQ FT",1958,"$1,046,000",60,None
