Account_ID,Company_Name,Subscription_Tier,Industry_Sector,Signup_Date,Monthly_Revenue_MRR,Active_User_Seats,Cloud_Storage_GB,Support_Tickets_Opened,Net_Promoter_Score,Customer_Churned,Product_Satisfaction
SAAS-5035,Corp_810 Inc,Free Trial,Marketing,2023-04-25,$75.78,104,178.7,9,3,0,4.1
SAAS-5320,Corp_836 Inc,Starter,Other,2023-07-09,4811.92 USD,7,254.2,5,7,0,1.7
SAAS-5248,Corp_806 Inc,Professional,Healthtech,2022-09-19,"$9,505.63",9999,270.0,2,7,N,2.7
SAAS-5202,Corp_541 Inc,N/A,Cybersecurity,2022-07-24,4802.07 USD,72,401.3,16,3,False,4.0
SAAS-5172,Corp_697 Inc,Free Trial,Edtech,2023-09-26,$140.24,127,419.8,1,10,yes,3.2
SAAS-5165,Corp_874 Inc,ENTERPRISE,,2023-08-15,$547.87,132,310.7,6,4,N,1.8
SAAS-5228,Corp_257 Inc,PRO,E-commerce,2022-08-15,$348.72,89,377.3,3,1,no,N/A
SAAS-5397,Corp_540 Inc,PRO,Marketing,2023-09-08,4834.28 USD,23,375.8,19,9,True,3.9
SAAS-5040,Corp_201 Inc,PRO,Marketing,2022-06-06,2402.28 USD,70,142.5,11,4,No,4.2
SAAS-5344,Corp_167 Inc,Enterprise,Fintech,2023-07-31,$524.61,58,381.7,19,5,N,4.1
SAAS-5264,Corp_745 Inc,enterprise,Cybersecurity,2023-07-21,$292.76,103,257.6,23,1,Yes,3.5
SAAS-5322,Corp_541 Inc,PRO,Marketing,2023-10-12,$545.98,141,362.7,4,4,true,4.2
SAAS-5215,Corp_718 Inc,STARTER,Marketing,2022-11-30,90.61,127,21.0,10,99,True,2.4
SAAS-5294,Corp_667 Inc,Free Trial,Healthtech,2023-04-26,"$2,434.48",84,47.8,14,99,True,2.3
SAAS-5319,Corp_508 Inc,trial,Other,2023-07-02,516.78 USD,119,173.3,12,-1,False,2.5
SAAS-5097,Corp_211 Inc,Professional,Logistics,2022-10-09,117.98,43,350.0,12,1,N,3.3
SAAS-5016,Corp_498 Inc,Enterprise,E-commerce,2023-04-17,312.29,90,27.0,13,6,Y,3.1
SAAS-5299,Corp_253 Inc,PRO,E-commerce,2023-02-21,1199.71 USD,125,300.3,13,7,N,1.2
SAAS-5175,Corp_680 Inc,Enterprise,Marketing,2023-02-26,"$1,192.92",84,71.3,20,10,true,3.7
SAAS-5170,Corp_101 Inc,Professional,Logistics,2022-07-06,,38,365.9,11,3,1,3.9
SAAS-5283,Corp_365 Inc,STARTER,Marketing,2023-05-20,$495.32,109,258.7,23,8,Yes,3.5
SAAS-5050,Corp_22 Inc,ENTERPRISE,Other,2022-06-29,66.55 USD,93,262.5,11,1,no,4.3
SAAS-5399,Corp_961 Inc,N/A,,2023-09-25,9536.23 USD,93,423.2,2,2,no,N/A
SAAS-5273,Corp_495 Inc,N/A,E-commerce,2023-06-03,1196.37 USD,68,406.6,18,7,Y,2.2
SAAS-5115,Corp_879 Inc,Starter,Fintech,2023-05-27,530.78 USD,60,,10,8,0,1.0
SAAS-5006,Corp_880 Inc,Free Trial,Other,2023-09-25,102.48 USD,11,470.9,16,10,N,4.6
SAAS-5070,Corp_180 Inc,STARTER,Marketing,2023-09-22,$509.13,50,424.6,13,5,1,2.3
SAAS-5225,Corp_997 Inc,ENTERPRISE,E-commerce,2023-08-21,"$1,210.41",46,null,14,7,No,3.8
SAAS-5072,Corp_951 Inc,Starter,Healthtech,2023-04-25,"$2,445.76",82,468.8,20,2,true,2.4
SAAS-5038,Corp_570 Inc,pro,Fintech,2022-12-30,508.59 USD,35,239.1,24,9,N,3.0
SAAS-5160,Corp_219 Inc,trial,Logistics,2022-09-08,1196.28 USD,5,34.2,15,99,true,5.0
SAAS-5353,Corp_753 Inc,trial,Marketing,2023-10-10,$504.13,132,,4,3,yes,1.8
SAAS-5318,Corp_626 Inc,STARTER,Cybersecurity,2023-09-19,111.27 USD,123,357.3,10,5,Y,3.4
SAAS-5341,Corp_466 Inc,Professional,Fintech,2023-01-10,"$4,849.62",130,421.3,12,2,yes,1.6
SAAS-5370,Corp_235 Inc,starter,,2023-06-20,1235.57 USD,13,418.0,24,10,N,4.2
SAAS-5395,Corp_999 Inc,STARTER,Other,2022-12-17,9506.32,-1,111.6,11,1,True,3.5
SAAS-5378,Corp_903 Inc,Professional,E-commerce,2022-12-20,"$1,240.20",134,141.7,6,9,0,4.4
SAAS-5198,Corp_58 Inc,pro,Cybersecurity,2023-08-29,$330.55,116,26.5,9,10,Yes,3.6
SAAS-5065,Corp_907 Inc,PRO,Edtech,2023-04-21,$509.91,8,241.6,23,4,false,2.9
SAAS-5032,Corp_616 Inc,Enterprise,Marketing,2022-12-30,"$4,816.77",84,293.0,3,6,N/A,3.4
SAAS-5190,Corp_648 Inc,Professional,Healthtech,2023-06-13,"$4,825.85",123,null,21,7,,1.6
SAAS-5017,Corp_736 Inc,starter,Healthtech,2023-08-15,$89.19,75,259.9,2,5,Yes,
SAAS-5366,Corp_172 Inc,ENTERPRISE,Logistics,2022-11-02,$494.67,15,479.4,22,10,,1.6
SAAS-5234,Corp_916 Inc,enterprise,Fintech,2023-06-24,$289.38,120,32.3,17,8,True,4.9
SAAS-5200,Corp_831 Inc,ENTERPRISE,Logistics,2023-01-17,"$4,846.74",112,214.6,1,10,N,1.8
SAAS-5138,Corp_963 Inc,Free Trial,Logistics,2023-01-31,9547.31 USD,96,301.8,15,10,N,2.8
SAAS-5381,Corp_184 Inc,Professional,Edtech,2022-08-18,500.1 USD,108,207.5,14,6,no,1.8
SAAS-5101,Corp_533 Inc,Professional,Other,2023-05-08,94.41 USD,87,35.2,5,9,false,2.8
SAAS-5240,Corp_468 Inc,trial,,2022-07-14,511.85 USD,52,436.8,3,9,Y,2.7
SAAS-5164,Corp_995 Inc,PRO,Edtech,2022-07-21,348.69 USD,86,323.3,9,8,1,1.6
SAAS-5253,Corp_424 Inc,enterprise,Fintech,2023-04-26,130.9,101,286.4,19,10,No,3.3
SAAS-5316,Corp_343 Inc,N/A,Healthtech,2022-09-21,$495.93,92,153.1,20,7,False,4.1
SAAS-5339,Corp_480 Inc,Professional Plan,E-commerce,2023-07-23,$506.64,47,239.5,3,4,1,3.2
SAAS-5153,Corp_368 Inc,starter,Other,2023-05-10,$289.12,42,396.1,9,5,1,1.1
SAAS-5329,Corp_466 Inc,enterprise,Edtech,2023-03-26,111.39,77,264.0,2,10,N,1.7
SAAS-5218,Corp_695 Inc,trial,,2023-04-14,1207.46,10,201.4,24,2,Yes,1.9
SAAS-5173,Corp_126 Inc,Starter,Cybersecurity,2023-05-02,"$1,204.04",67,305.2,16,4,True,2.6
SAAS-5150,Corp_197 Inc,Enterprise,,2023-08-12,"$2,437.36",1,472.0,17,3,false,3.9
SAAS-5239,Corp_731 Inc,Professional Plan,Edtech,2022-11-06,4838.82 USD,86,239.5,24,3,N/A,3.4
SAAS-5211,Corp_682 Inc,Starter,Healthtech,2022-09-27,$60.59,68,13.5,14,4,Y,2.6
SAAS-5049,Corp_86 Inc,Enterprise,Cybersecurity,2023-07-06,$509.31,139,223.6,17,10,True,3.5
SAAS-5233,Corp_526 Inc,PRO,Healthtech,2022-08-22,"$9,520.57",56,6.3,11,2,yes,4.6
SAAS-5373,Corp_510 Inc,enterprise,,2022-12-30,495.04 USD,116,486.5,24,5,Yes,2.0
SAAS-5196,Corp_282 Inc,Professional,Healthtech,2023-07-03,"$9,492.64",3,78.3,8,3,N,1.3
SAAS-5389,Corp_493 Inc,starter,E-commerce,2022-10-05,"$1,190.75",10,68.1,N/A,-1,,1.9
SAAS-5298,Corp_68 Inc,ENTERPRISE,Cybersecurity,2022-10-03,2444.57,70,,2,N/A,yes,3.2
SAAS-5056,Corp_436 Inc,Professional,Marketing,2023-02-06,$125.16,111,108.8,2,3,N,3.3
SAAS-5229,Corp_266 Inc,pro,Fintech,2022-06-03,115.23 USD,10,478.0,9,1,,2.7
SAAS-5255,Corp_85 Inc,starter,Other,2023-08-01,"$9,510.65",67,465.8,19,6,Y,2.0
SAAS-5398,Corp_369 Inc,Professional Plan,Fintech,2023-10-11,1203.42 USD,149,443.4,7,5,Yes,3.9
SAAS-5284,Corp_766 Inc,Enterprise,Logistics,2023-05-04,47.38 USD,82,193.2,4,5,0,2.8
SAAS-5304,Corp_452 Inc,Enterprise,Healthtech,2022-11-30,"$1,218.02",91,116.7,3,99,true,4.4
SAAS-5093,Corp_908 Inc,Enterprise,Logistics,2022-08-15,9508.3 USD,27,347.8,21,9,Yes,4.9
SAAS-5057,Corp_286 Inc,Professional,Edtech,2022-09-25,$305.65,104,73.2,22,6,true,2.3
SAAS-5149,Corp_167 Inc,Enterprise,Edtech,2023-09-22,519.16 USD,126,440.6,5,2,Yes,1.5
SAAS-5238,Corp_114 Inc,Professional Plan,Logistics,,"$2,433.35",25,21.5,20,8,No,1.6
SAAS-5107,Corp_920 Inc,Free Trial,Marketing,2022-11-23,"$4,836.40",42,388.7,2,2,Yes,3.9
SAAS-5123,Corp_818 Inc,PRO,E-commerce,2023-05-09,"$2,426.49",50,402.2,0,6,False,3.4
SAAS-5278,Corp_869 Inc,starter,Cybersecurity,2023-05-03,1195.41,21,430.2,5,3,false,4.5
SAAS-5197,Corp_374 Inc,Free Trial,Logistics,2023-07-16,123.71000000000001 USD,47,260.7,12,2,No,4.3
SAAS-5166,Corp_471 Inc,starter,,2023-03-01,,70,277.4,18,10,,4.0
SAAS-5317,Corp_12 Inc,Starter,,2022-07-04,1229.0 USD,88,494.9,8,4,N/A,1.6
SAAS-5055,Corp_745 Inc,ENTERPRISE,Fintech,2022-10-10,108.07 USD,134,494.4,5,4,no,3.0
SAAS-5188,Corp_526 Inc,STARTER,Cybersecurity,2022-09-17,$71.91,78,189.2,12,-1,1,2.3
SAAS-5009,Corp_208 Inc,Professional,Logistics,2022-09-09,"$9,491.23",87,481.7,12,N/A,true,3.8
SAAS-5359,Corp_146 Inc,ENTERPRISE,Fintech,2022-06-21,$61.08,109,353.1,19,4,1,3.9
SAAS-5040,Corp_201 Inc,PRO,Marketing,2022-06-06,2402.28 USD,70,142.5,11,4,No,4.2
SAAS-5108,Corp_979 Inc,Starter,Fintech,2023-04-11,91.75999999999999 USD,37,167.0,12,8,N,2.6
SAAS-5013,Corp_54 Inc,trial,Edtech,2023-01-01,9504.51,20,405.9,12,5,True,4.2
SAAS-5179,Corp_812 Inc,Professional,Cybersecurity,2023-09-09,9527.56,9,456.7,13,5,False,4.7
SAAS-5286,Corp_60 Inc,pro,Healthtech,2022-07-16,1237.15 USD,10,217.5,3,5,N/A,1.2
SAAS-5210,Corp_165 Inc,Professional Plan,E-commerce,2023-10-07,N/A,97,432.3,13,10,true,
SAAS-5015,Corp_454 Inc,Enterprise,,2023-04-06,"$2,407.91",94,290.6,1,9,False,2.7
SAAS-5071,Corp_720 Inc,Professional Plan,Cybersecurity,2022-09-03,"$1,217.73",145,493.6,12,6,,4.8
SAAS-5102,Corp_418 Inc,N/A,Cybersecurity,2022-10-04,1229.68,35,110.9,19,9,0,2.5
SAAS-5346,Corp_498 Inc,Starter,Other,2022-11-20,1223.92 USD,83,415.7,7,10,False,4.4
SAAS-5069,Corp_953 Inc,Starter,Fintech,2023-05-13,136.79 USD,25,17.8,4,4,Yes,1.6
SAAS-5222,Corp_108 Inc,Professional,Other,2023-07-05,"$4,841.64",91,491.7,18,8,yes,3.7
SAAS-5340,Corp_863 Inc,enterprise,Other,2023-06-14,$39.75,98,70.9,9,9,0,2.9
SAAS-5039,Corp_553 Inc,N/A,Logistics,2022-10-02,9493.78,85,405.4,17,7,N/A,3.3
SAAS-5141,Corp_416 Inc,N/A,Healthtech,2022-06-08,$533.41,52,231.1,5,3,True,3.1
SAAS-5289,Corp_217 Inc,trial,Other,2022-06-18,$312.09,78,497.6,13,9,N/A,2.7
SAAS-5082,Corp_208 Inc,pro,Edtech,2023-03-02,$310.88,16,52.4,18,8,Y,1.1
SAAS-5324,Corp_913 Inc,N/A,Fintech,2022-11-11,$87.47,9999,null,19,1,N/A,4.1
SAAS-5280,Corp_210 Inc,Professional Plan,Logistics,2023-04-03,4844.1 USD,8,24.4,14,10,No,N/A
SAAS-5162,Corp_624 Inc,enterprise,Logistics,2023-05-21,4804.8 USD,N/A,307.1,12,9,No,2.3
SAAS-5245,Corp_982 Inc,Enterprise,Healthtech,2023-07-16,4830.53 USD,9999,310.5,?,6,yes,4.9
SAAS-5011,Corp_472 Inc,Free Trial,Edtech,2022-10-25,76.65,89,111.7,21,10,True,1.8
SAAS-5392,Corp_582 Inc,Professional Plan,,2023-07-24,2444.26 USD,16,361.1,4,3,0,1.6
SAAS-5157,Corp_630 Inc,Free Trial,Fintech,2022-09-21,2396.12 USD,95,85.9,0,10,no,4.9
SAAS-5237,Corp_88 Inc,N/A,Logistics,2023-05-24,$109.66,55,337.4,13,2,True,3.5
SAAS-5383,Corp_316 Inc,Professional Plan,Logistics,2023-09-17,76.47 USD,9,478.3,22,5,N/A,
SAAS-5384,Corp_41 Inc,PRO,Edtech,2022-09-28,$138.39,118,191.4,2,9,N,2.0
SAAS-5295,Corp_775 Inc,Professional Plan,E-commerce,2022-09-12,$0,150,272.5,4,3,false,5.0
SAAS-5244,Corp_982 Inc,N/A,Cybersecurity,2023-07-06,522.86 USD,39,178.6,15,4,true,4.8
SAAS-5367,Corp_346 Inc,Free Trial,Healthtech,2022-12-21,"$9,515.27",85,258.5,25,-1,0,4.1
SAAS-5165,Corp_874 Inc,ENTERPRISE,,2023-08-15,$547.87,132,310.7,6,4,N,1.8
SAAS-5144,Corp_180 Inc,Enterprise,Other,2023-05-19,303.64,144,332.2,25,5,No,3.7
SAAS-5274,Corp_636 Inc,Enterprise,Fintech,N/A,"$2,414.02",88,201.3,23,4,true,N/A
SAAS-5021,Corp_368 Inc,STARTER,Cybersecurity,,315.0 USD,125,34.1,24,4,1,4.9
SAAS-5231,Corp_574 Inc,enterprise,Cybersecurity,2023-06-25,85.5 USD,27,144.8,3,10,false,1.3
SAAS-5128,Corp_813 Inc,N/A,E-commerce,2022-06-12,9525.41,72,491.3,25,9,Y,2.7
SAAS-5059,Corp_16 Inc,pro,Cybersecurity,2022-12-11,526.68,81,308.6,23,-1,true,3.8
SAAS-5257,Corp_804 Inc,STARTER,Healthtech,N/A,$338.39,-1,25.0,11,7,False,1.6
SAAS-5091,Corp_710 Inc,starter,Edtech,2022-08-22,2413.32 USD,63,277.5,18,N/A,No,2.6
SAAS-5360,Corp_553 Inc,ENTERPRISE,,2023-07-01,"$1,244.83",48,96.8,5,2,true,3.5
SAAS-5297,Corp_870 Inc,trial,Fintech,2022-11-24,4824.84 USD,40,75.2,7,7,,2.1
SAAS-5174,Corp_784 Inc,trial,Fintech,2022-08-22,$316.04,149,124.7,25,3,false,4.9
SAAS-5152,Corp_806 Inc,Starter,,2023-08-14,$91.00,9999,91.9,7,1,,3.8
SAAS-5076,Corp_805 Inc,Free Trial,Edtech,2023-07-25,$323.46,17,399.6,25,10,Y,1.9
SAAS-5143,Corp_738 Inc,Professional Plan,Fintech,2023-03-26,N/A,7,342.2,18,2,,1.3
SAAS-5007,Corp_412 Inc,ENTERPRISE,Other,2023-09-25,303.99 USD,127,279.9,7,5,false,4.4
SAAS-5293,Corp_300 Inc,Starter,Fintech,2022-11-09,515.13 USD,97,65.1,18,N/A,,2.9
SAAS-5026,Corp_221 Inc,STARTER,Logistics,2023-04-08,"$1,242.52",44,481.9,13,-1,yes,4.0
SAAS-5382,Corp_966 Inc,trial,,2022-06-03,$293.96,22,483.3,9,6,1,1.6
SAAS-5002,Corp_946 Inc,Professional,Healthtech,2022-12-01,$530.36,90,149.6,24,6,N/A,N/A
SAAS-5080,Corp_832 Inc,N/A,Marketing,2023-04-04,$39.13,9,202.9,8,9,No,2.0
SAAS-5113,Corp_379 Inc,STARTER,,2023-04-17,$343.14,89,247.1,20,4,Y,2.6
SAAS-5375,Corp_102 Inc,ENTERPRISE,Edtech,2023-02-21,"$9,514.84",112,362.7,19,7,N,1.3
SAAS-5168,Corp_93 Inc,Enterprise,Fintech,2023-06-02,"$2,431.73",96,498.7,8,3,True,1.0
SAAS-5277,Corp_673 Inc,Free Trial,Healthtech,2023-09-04,$51.43,N/A,146.9,16,3,false,2.9
SAAS-5187,Corp_495 Inc,trial,,2023-02-15,127.9 USD,68,234.4,25,8,yes,3.0
SAAS-5096,Corp_443 Inc,Free Trial,Logistics,2023-01-02,$546.04,138,76.5,13,6,no,4.0
SAAS-5305,Corp_874 Inc,Starter,,2023-03-28,47.24 USD,99,497.8,21,2,yes,1.8
SAAS-5332,Corp_937 Inc,Free Trial,,2023-03-31,548.01 USD,131,137.3,21,4,yes,4.9
SAAS-5126,Corp_527 Inc,starter,Healthtech,2023-08-04,pending,49,438.8,N/A,2,N/A,1.8
SAAS-5061,Corp_769 Inc,PRO,Marketing,2023-08-28,1240.77 USD,130,331.0,8,3,No,4.0
SAAS-5330,Corp_204 Inc,Free Trial,Cybersecurity,2023-05-26,"$9,500.90",105,25.0,2,4,no,3.8
SAAS-5133,Corp_448 Inc,PRO,,2023-07-10,"$9,526.34",49,380.1,18,9,Y,3.2
SAAS-5371,Corp_778 Inc,Professional Plan,Logistics,2023-05-22,$39.78,140,491.1,25,99,false,3.0
SAAS-5064,Corp_893 Inc,enterprise,Fintech,2023-09-12,$342.25,137,396.3,10,6,No,2.8
SAAS-5140,Corp_672 Inc,Professional,Fintech,2023-04-30,$103.72,9999,228.9,15,5,N,4.0
SAAS-5357,Corp_298 Inc,Enterprise,E-commerce,2022-11-22,9544.16,28,null,14,9,yes,N/A
SAAS-5337,Corp_347 Inc,STARTER,,2023-01-06,94.25 USD,110,160.8,3,N/A,0,3.3
SAAS-5183,Corp_358 Inc,N/A,Fintech,2023-08-10,"$9,522.79",33,85.1,25,3,N,2.3
SAAS-5271,Corp_588 Inc,Starter,Fintech,2022-12-29,1217.81,48,181.9,16,4,False,3.1
SAAS-5354,Corp_999 Inc,PRO,Logistics,2022-07-20,310.88,85,135.1,6,9,No,2.7
SAAS-5077,Corp_215 Inc,enterprise,Other,2023-07-27,$331.48,84,444.8,7,3,No,4.3
SAAS-5201,Corp_346 Inc,trial,Marketing,2022-08-31,$69.39,113,20.1,5,8,N/A,1.8
SAAS-5314,Corp_486 Inc,N/A,Other,2023-04-18,"$9,545.16",102,295.1,13,10,No,3.4
SAAS-5178,Corp_58 Inc,PRO,E-commerce,2023-05-27,2397.69 USD,60,null,11,6,yes,4.0
SAAS-5031,Corp_56 Inc,N/A,Other,2022-12-18,$96.90,N/A,132.9,15,5,No,1.4
SAAS-5000,Corp_792 Inc,Professional Plan,Other,2022-12-27,$529.60,10,166.4,20,9,True,2.3
SAAS-5122,Corp_234 Inc,trial,Marketing,2022-07-19,$94.07,103,54.9,13,N/A,1,3.3
SAAS-5270,Corp_542 Inc,N/A,Marketing,2023-09-18,88.47 USD,104,472.8,23,7,True,3.5
SAAS-5387,Corp_807 Inc,PRO,E-commerce,2023-05-01,"$2,449.85",50,271.3,3,8,False,4.4
SAAS-5243,Corp_479 Inc,STARTER,Logistics,2022-08-03,535.5 USD,105,47.0,24,7,Y,1.1
SAAS-5044,Corp_316 Inc,enterprise,Logistics,2023-02-14,1222.78 USD,18,224.8,20,3,Yes,1.1
SAAS-5369,Corp_707 Inc,Professional Plan,E-commerce,2022-11-28,$125.66,142,120.5,25,9,1,1.8
SAAS-5252,Corp_781 Inc,Free Trial,,2023-07-13,$321.29,41,242.9,17,6,false,2.2
SAAS-5303,Corp_761 Inc,N/A,E-commerce,2022-06-07,"$1,225.94",25,219.0,16,9,1,4.4
SAAS-5155,Corp_462 Inc,Enterprise,Cybersecurity,2022-09-10,$292.92,116,282.3,?,2,0,1.3
SAAS-5287,Corp_727 Inc,enterprise,Cybersecurity,2022-10-09,$77.42,36,489.9,19,N/A,Y,1.5
SAAS-5275,Corp_617 Inc,Free Trial,Edtech,2022-08-10,4816.84 USD,27,198.8,?,10,true,2.7
SAAS-5385,Corp_560 Inc,starter,Cybersecurity,2023-09-06,"$2,411.10",89,345.3,5,1,no,3.9
SAAS-5145,Corp_273 Inc,N/A,Logistics,2023-04-18,$140.21,29,315.1,13,3,No,4.5
SAAS-5176,Corp_837 Inc,Professional,,2023-04-23,102.97 USD,2,52.7,0,5,N/A,2.7
SAAS-5110,Corp_590 Inc,starter,Edtech,N/A,$512.11,63,283.8,?,1,True,4.6
SAAS-5347,Corp_976 Inc,trial,Logistics,2023-03-16,104.78 USD,91,62.0,13,2,1,2.6
SAAS-5180,Corp_986 Inc,ENTERPRISE,Edtech,2022-11-11,2401.48 USD,59,297.8,9,5,N,2.9
SAAS-5087,Corp_174 Inc,N/A,Fintech,2023-06-15,1244.54,114,290.1,9,6,No,2.4
SAAS-5209,Corp_905 Inc,N/A,Edtech,2023-03-26,"$2,401.50",100,125.3,12,9,false,2.4
SAAS-5312,Corp_433 Inc,Professional Plan,Cybersecurity,2023-01-23,$525.10,N/A,128.5,7,7,no,4.9
SAAS-5139,Corp_69 Inc,ENTERPRISE,E-commerce,2023-05-08,"$2,430.25",50,,19,7,1,4.7
SAAS-5394,Corp_998 Inc,Professional Plan,Fintech,2023-04-09,"$4,801.78",61,425.7,N/A,3,N/A,4.7
SAAS-5074,Corp_298 Inc,starter,Healthtech,2023-02-03,"$2,393.17",54,249.8,22,9,N,4.7
SAAS-5362,Corp_458 Inc,PRO,Edtech,2023-07-26,$499.92,124,14.3,4,8,N/A,3.6
SAAS-5232,Corp_216 Inc,pro,Other,2022-11-18,1247.68,97,259.5,18,1,True,2.4
SAAS-5219,Corp_704 Inc,pro,Cybersecurity,2022-06-10,$69.33,130,424.9,20,9,N/A,4.8
SAAS-5386,Corp_964 Inc,starter,Other,2023-10-12,"$2,400.46",17,496.4,13,3,N/A,3.9
SAAS-5288,Corp_312 Inc,ENTERPRISE,Edtech,2022-07-31,318.62,33,140.7,13,4,No,3.3
SAAS-5204,Corp_102 Inc,ENTERPRISE,Edtech,2022-12-31,4837.11 USD,4,27.1,11,1,no,4.9
SAAS-5095,Corp_183 Inc,trial,E-commerce,0000-00-00,9494.68,7,430.3,24,7,Yes,3.0
SAAS-5092,Corp_292 Inc,STARTER,E-commerce,2023-01-29,121.19 USD,107,171.2,9,9,N/A,3.8
SAAS-5345,Corp_946 Inc,enterprise,,2023-01-08,9491.07 USD,149,72.2,12,99,0,3.3
SAAS-5084,Corp_755 Inc,Professional,Cybersecurity,2022-07-15,"$9,549.18",59,263.0,24,4,N/A,3.7
SAAS-5004,Corp_267 Inc,ENTERPRISE,Other,2023-10-04,$322.58,4,364.3,23,1,no,3.3
SAAS-5003,Corp_821 Inc,Professional Plan,Cybersecurity,2023-02-22,2410.97 USD,51,12.5,16,6,yes,4.0
SAAS-5106,Corp_456 Inc,STARTER,Cybersecurity,2023-07-07,9491.51 USD,56,257.1,9,3,no,4.9
SAAS-5260,Corp_640 Inc,starter,Logistics,2022-07-20,58.1 USD,7,332.7,12,5,0,2.0
SAAS-5114,Corp_770 Inc,Professional,E-commerce,2023-06-10,9513.81 USD,N/A,149.0,1,6,1,2.1
SAAS-5054,Corp_238 Inc,enterprise,Marketing,2023-09-27,497.01 USD,92,null,19,N/A,no,2.9
SAAS-5167,Corp_763 Inc,Professional,Other,2023-07-29,$534.03,66,268.2,23,10,1,3.3
SAAS-5120,Corp_342 Inc,trial,,2022-08-10,"$4,822.12",148,461.4,17,5,Yes,3.5
SAAS-5130,Corp_765 Inc,Free Trial,Edtech,2022-10-22,$39.02,81,212.8,12,-1,0,3.0
SAAS-5364,Corp_208 Inc,pro,Marketing,2023-04-06,"$4,804.67",115,48.2,23,1,yes,4.7
SAAS-5348,Corp_466 Inc,Free Trial,,2023-06-16,62.36 USD,15,340.9,6,5,False,1.4
SAAS-5327,Corp_671 Inc,pro,Cybersecurity,,"$4,799.98",44,466.9,24,6,False,2.7
SAAS-5336,Corp_330 Inc,PRO,Other,2023-09-25,"$2,412.83",102,254.2,17,8,0,4.1
SAAS-5331,Corp_971 Inc,Free Trial,Healthtech,2023-01-10,342.02 USD,50,444.8,1,5,0,3.5
SAAS-5083,Corp_597 Inc,Professional Plan,Healthtech,2023-04-18,$81.62,14,32.2,14,8,true,4.0
SAAS-5379,Corp_318 Inc,Professional,Logistics,2023-06-03,75.64 USD,135,258.6,25,9,True,3.4
SAAS-5027,Corp_443 Inc,enterprise,Other,2023-07-15,41.92 USD,117,422.9,9,9,false,2.2
SAAS-5018,Corp_255 Inc,Professional Plan,Edtech,2022-07-12,289.34 USD,142,128.4,9,1,Y,3.2
SAAS-5320,Corp_836 Inc,Starter,Other,2023-07-09,4811.92 USD,7,254.2,5,7,0,1.7
SAAS-5224,Corp_952 Inc,starter,Logistics,2022-11-22,"$4,815.12",98,409.7,22,6,N/A,2.6
SAAS-5374,Corp_970 Inc,N/A,,2022-12-14,4839.91 USD,26,294.2,17,2,Y,2.2
SAAS-5311,Corp_870 Inc,ENTERPRISE,Logistics,N/A,"$4,796.61",52,262.7,6,8,false,3.6
SAAS-5352,Corp_571 Inc,enterprise,,2022-08-02,"$9,540.86",22,467.5,14,7,No,3.0
SAAS-5100,Corp_906 Inc,Starter,Other,2022-06-14,$95.71,125,107.6,7,10,True,3.5
